Date,GHI,PR
3/24/2021,5.930958333,81.65893517
3/25/2021,5.744208333,77.53325058
3/26/2021,6.382258333,82.3602677
3/27/2021,5.880091667,69.51553523
3/28/2021,6.058016667,79.12584119
3/29/2021,5.221883333,62.95521726
3/30/2021,4.50345,62.09502838
3/31/2021,5.7723,76.89889967
4/1/2021,5.695466667,69.42506407
4/2/2021,5.393075,64.49132957
4/3/2021,5.281491667,79.09037784
4/4/2021,4.4688,62.37501073
4/5/2021,5.544483333,66.53188436
4/20/2021,5.541141667,81.18385924
4/21/2021,3.62395,69.39032767
4/22/2021,3.492116667,83.12971089
4/23/2021,5.313343922,62.47836
4/24/2021,4.79654696,70.84803136
4/25/2021,3.153351905,75.97932614
4/26/2021,2.362289077,61.85775012
4/27/2021,4.974659038,66.282687
4/28/2021,2.052460967,71.25258969
4/29/2021,3.791515937,60.16836412
4/30/2021,2.608621218,64.23382316
5/1/2021,3.962442493,80.28617144
5/2/2021,3.226006007,71.31033919
5/3/2021,3.133258718,63.26432989
5/4/2021,3.473097435,82.20592374
5/5/2021,4.818486702,67.88429461
5/6/2021,4.344406745,84.4584428
5/7/2021,3.872577166,73.88330629
5/8/2021,4.572323084,80.36907669
5/9/2021,4.245558805,82.86192067
5/10/2021,4.799174324,81.70424974
5/11/2021,5.081601251,66.8540135
5/12/2021,5.48990089,80.33726461
5/13/2021,4.423161588,70.41307019
5/14/2021,5.599727089,82.77540739
5/15/2021,3.859876164,79.21094566
5/16/2021,2.863221221,80.88920973
5/17/2021,5.054697998,66.59164753
5/18/2021,4.816941042,65.73437628
5/19/2021,4.146993655,68.80919874
5/20/2021,5.795741533,64.92763303
5/21/2021,4.842938846,80.66957722
5/22/2021,3.453569763,74.85241677
5/23/2021,5.139612367,84.43443876
5/24/2021,4.966459913,65.9791875
5/25/2021,5.985223087,78.39933396
5/26/2021,2.904250735,63.69143877
5/27/2021,3.960938725,64.88008411
5/28/2021,4.546565962,82.31871815
5/29/2021,3.799354292,84.10460444
5/30/2021,3.718602454,65.1516929
5/31/2021,3.062771081,76.9686571
6/1/2021,4.195066667,68.87633524
6/2/2021,4.877116667,62.88708413
6/5/2021,5.0684,79.08599954
6/6/2021,3.99225,72.1702366
6/7/2021,5.365591667,79.88007224
6/8/2021,2.611183333,77.29574387
6/9/2021,5.204808333,60.64390862
6/10/2021,3.592533333,66.23325834
6/11/2021,5.396108333,80.90123037
6/12/2021,4.161741667,60.59910905
6/13/2021,5.448483333,72.39693681
6/14/2021,5.926033333,78.76041599
6/15/2021,3.932033333,60.32529965
6/16/2021,4.729975,70.7694985
6/17/2021,6.520441667,66.66965168
6/18/2021,6.123708333,74.27436761
6/19/2021,5.056091667,81.68971449
6/20/2021,5.725175,80.63315423
6/21/2021,4.051708333,74.72682588
6/22/2021,4.164675,65.53509604
6/23/2021,4.859341667,70.72157983
6/24/2021,5.739525,64.21049448
6/25/2021,5.90975,68.06328707
6/26/2021,6.281358333,83.84207408
6/27/2021,5.852325,82.47158407
6/28/2021,5.981325,77.20580226
6/29/2021,5.256925,81.55935567
6/30/2021,3.089816667,77.20331671
7/1/2021,6.332116667,84.7699836
7/2/2021,6.18565,63.20853215
7/3/2021,5.4784,78.35262338
7/4/2021,3.296966667,84.09817081
7/5/2021,3.667841667,72.89388546
7/6/2021,2.852183333,76.38979995
7/7/2021,2.717125,81.77536229
7/8/2021,3.595508333,67.87960601
7/9/2021,4.808441667,64.09475269
7/10/2021,5.292016667,62.04101834
7/11/2021,5.98765,83.8501172
7/12/2021,4.842283333,66.35927925
7/13/2021,4.506258333,71.21065978
7/14/2021,3.985116667,72.01887248
7/15/2021,3.222533333,71.57437185
7/16/2021,5.855191667,83.44409415
7/17/2021,6.5543,66.02987703
7/18/2021,3.73,63.93345641
7/19/2021,4.535691667,67.30536284
7/20/2021,5.722691667,80.84051944
7/21/2021,3.865775,82.68233834
7/22/2021,4.174416667,79.77389156
7/23/2021,2.655541667,81.97642408
7/24/2021,5.254816667,73.75992663
7/25/2021,4.542575,75.3427307
7/26/2021,5.688958333,79.79306328
7/27/2021,5.361808333,77.20349712
7/28/2021,2.928783333,67.81317142
7/29/2021,4.2413,80.48844149
7/30/2021,5.188091667,70.92533959
7/31/2021,5.100383333,62.05911381
